2026-03-03 20:22:34,848 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3012, 'contract': 4380930944: 0,ABNB,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:22:34,848 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00B20\x003012\x000\x00ABNB\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:35,929 | INFO     | Screener.Pipeline |   [13/500] AKAM
2026-03-03 20:22:35,930 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3013, 'contract': 4408464000: 0,AKAM,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:22:35,930 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00B20\x003013\x000\x00AKAM\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:37,080 | INFO     | Screener.Pipeline |   [14/500] AMC F
2026-03-03 20:22:37,081 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3014, 'contract': 4408463712: 0,AMC F,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:22:37,082 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00C20\x003014\x000\x00AMC F\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:57,083 | INFO     | Screener.Pipeline |   [15/500] ARE
2026-03-03 20:22:57,085 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3015, 'contract': 4408463472: 0,ARE,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
