,conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass,openPrice,closePrice,lowPrice,highPrice,lastPrice,tradingVolume
72,759513919,ES,FOP,20250214,6105.0,C,CME,USD,EW2,6131.75,36.25,4.45,5.35,4.6,-1.0
73,759513919,ES,FOP,20250214,6105.0,C,CME,USD,EW2,6131.75,36.25,4.45,5.35,4.6,-1.0
74,759513919,ES,FOP,20250214,6105.0,C,CME,USD,EW2,6131.75,36.25,4.45,5.35,4.6,-1.0
75,759513967,ES,FOP,20250214,6105.0,P,CME,USD,EW2,6131.75,36.25,4.45,5.35,6.05,-1.0
76,759513967,ES,FOP,20250214,6105.0,P,CME,USD,EW2,6131.75,36.25,4.45,6.2,6.05,-1.0
77,759513967,ES,FOP,20250214,6105.0,P,CME,USD,EW2,6131.75,36.25,5.6,6.2,6.05,-1.0
78,759513967,ES,FOP,20250214,6105.0,P,CME,USD,EW2,6131.75,6.1,5.6,6.2,6.05,-1.0
79,759513967,ES,FOP,20250214,6105.0,P,CME,USD,EW2,6131.75,6.1,5.6,6.2,6.05,-1.0
80,759513967,ES,FOP,20250214,6105.0,P,CME,USD,EW2,6131.75,6.1,5.6,6.2,6.05,-1.0
81,757533111,ES,FOP,20250214,6110.0,P,CME,USD,EW2,6131.75,6.1,5.6,6.2,7.0,-1.0
82,757533111,ES,FOP,20250214,6110.0,P,CME,USD,EW2,6131.75,6.1,5.6,7.0,7.0,-1.0
83,757533111,ES,FOP,20250214,6110.0,P,CME,USD,EW2,6131.75,6.1,6.2,7.0,7.0,-1.0
84,757533111,ES,FOP,20250214,6110.0,P,CME,USD,EW2,6131.75,7.1,6.2,7.0,7.0,-1.0
85,757533111,ES,FOP,20250214,6110.0,P,CME,USD,EW2,6131.75,7.1,6.2,7.0,7.0,-1.0
86,757533111,ES,FOP,20250214,6110.0,P,CME,USD,EW2,6131.75,7.1,6.2,7.0,7.0,-1.0
87,757533249,ES,FOP,20250214,6110.0,C,CME,USD,EW2,6131.75,7.1,6.2,30.25,7.0,-1.0
88,757533249,ES,FOP,20250214,6110.0,C,CME,USD,EW2,6131.75,7.1,30.0,30.25,7.0,-1.0
89,757533249,ES,FOP,20250214,6110.0,C,CME,USD,EW2,6131.75,32.25,30.0,30.25,7.0,-1.0
90,757533249,ES,FOP,20250214,6110.0,C,CME,USD,EW2,6131.75,32.25,30.0,30.25,30.25,-1.0
91,757533249,ES,FOP,20250214,6110.0,C,CME,USD,EW2,6131.75,32.25,30.0,30.25,30.25,-1.0
92,757533249,ES,FOP,20250214,6110.0,C,CME,USD,EW2,6131.75,32.25,30.0,30.25,30.25,-1.0
93,759513803,ES,FOP,20250214,6115.0,P,CME,USD,EW2,6131.75,32.25,30.0,30.25,30.25,-1.0
94,759513803,ES,FOP,20250214,6115.0,P,CME,USD,EW2,6131.75,32.25,30.0,30.25,30.25,-1.0
95,759513874,ES,FOP,20250214,6115.0,C,CME,USD,EW2,6131.75,32.25,30.0,30.25,26.0,-1.0
96,759513874,ES,FOP,20250214,6115.0,C,CME,USD,EW2,6131.75,32.25,30.0,26.0,26.0,-1.0
97,759513874,ES,FOP,20250214,6115.0,C,CME,USD,EW2,6131.75,32.25,26.0,26.0,26.0,-1.0
98,759513874,ES,FOP,20250214,6115.0,C,CME,USD,EW2,6131.75,28.5,26.0,26.0,26.0,-1.0
99,759513874,ES,FOP,20250214,6115.0,C,CME,USD,EW2,6131.75,28.5,26.0,26.0,26.0,-1.0
100,759513874,ES,FOP,20250214,6115.0,C,CME,USD,EW2,6131.75,28.5,26.0,26.0,26.0,-1.0
101,757532820,ES,FOP,20250214,6120.0,P,CME,USD,EW2,6131.75,28.5,26.0,26.0,9.3,-1.0
102,757532820,ES,FOP,20250214,6120.0,P,CME,USD,EW2,6131.75,28.5,26.0,9.7,9.3,-1.0
103,757532820,ES,FOP,20250214,6120.0,P,CME,USD,EW2,6131.75,28.5,8.3,9.7,9.3,-1.0
104,757532820,ES,FOP,20250214,6120.0,P,CME,USD,EW2,6131.75,9.5,8.3,9.7,9.3,-1.0
105,757532820,ES,FOP,20250214,6120.0,P,CME,USD,EW2,6131.75,9.5,8.3,9.7,9.3,-1.0
106,757532820,ES,FOP,20250214,6120.0,P,CME,USD,EW2,6131.75,9.5,8.3,9.7,9.3,-1.0
107,757532854,ES,FOP,20250214,6120.0,C,CME,USD,EW2,6131.75,9.5,8.3,9.7,25.0,-1.0
108,757532854,ES,FOP,20250214,6120.0,C,CME,USD,EW2,6131.75,9.5,8.3,25.0,25.0,-1.0
109,757532854,ES,FOP,20250214,6120.0,C,CME,USD,EW2,6131.75,9.5,23.25,25.0,25.0,-1.0
110,757532854,ES,FOP,20250214,6120.0,C,CME,USD,EW2,6131.75,24.75,23.25,25.0,25.0,-1.0
111,757532854,ES,FOP,20250214,6120.0,C,CME,USD,EW2,6131.75,24.75,23.25,25.0,25.0,-1.0
112,757532854,ES,FOP,20250214,6120.0,C,CME,USD,EW2,6131.75,24.75,23.25,25.0,25.0,-1.0
113,747767187,ES,FOP,20250214,6125.0,P,CME,USD,EW2,6131.75,24.75,23.25,25.0,11.0,-1.0
114,747767187,ES,FOP,20250214,6125.0,P,CME,USD,EW2,6131.75,24.75,23.25,11.5,11.0,-1.0
115,747767187,ES,FOP,20250214,6125.0,P,CME,USD,EW2,6131.75,24.75,10.0,11.5,11.0,-1.0
116,747767187,ES,FOP,20250214,6125.0,P,CME,USD,EW2,6131.75,11.0,10.0,11.5,11.0,-1.0
117,747767187,ES,FOP,20250214,6125.0,P,CME,USD,EW2,6131.75,11.0,10.0,11.5,11.0,-1.0
118,747767187,ES,FOP,20250214,6125.0,P,CME,USD,EW2,6131.75,11.0,10.0,11.5,11.0,-1.0
119,747767235,ES,FOP,20250214,6125.0,C,CME,USD,EW2,6131.75,11.0,10.0,21.25,11.0,-1.0
120,747767235,ES,FOP,20250214,6125.0,C,CME,USD,EW2,6131.75,11.0,19.25,21.25,11.0,-1.0
121,747767235,ES,FOP,20250214,6125.0,C,CME,USD,EW2,6131.75,21.25,19.25,21.25,11.0,-1.0
122,747767235,ES,FOP,20250214,6125.0,C,CME,USD,EW2,6131.75,21.25,19.25,21.25,21.25,-1.0
123,747767235,ES,FOP,20250214,6125.0,C,CME,USD,EW2,6131.75,21.25,19.25,21.25,21.25,-1.0
124,747767235,ES,FOP,20250214,6125.0,C,CME,USD,EW2,6131.75,21.25,19.25,21.25,21.25,-1.0
125,757533100,ES,FOP,20250214,6130.0,C,CME,USD,EW2,6131.75,21.25,19.25,21.25,21.25,-1.0
126,757533100,ES,FOP,20250214,6130.0,C,CME,USD,EW2,6131.75,21.25,19.25,21.25,21.25,-1.0
127,757533238,ES,FOP,20250214,6130.0,P,CME,USD,EW2,6131.75,21.25,19.25,21.25,12.5,-1.0
128,757533238,ES,FOP,20250214,6130.0,P,CME,USD,EW2,6131.75,21.25,19.25,12.75,12.5,-1.0
129,757533238,ES,FOP,20250214,6130.0,P,CME,USD,EW2,6131.75,21.25,11.75,12.75,12.5,-1.0
130,757533238,ES,FOP,20250214,6130.0,P,CME,USD,EW2,6131.75,12.75,11.75,12.75,12.5,-1.0
131,757533238,ES,FOP,20250214,6130.0,P,CME,USD,EW2,6131.75,12.75,11.75,12.75,12.5,-1.0
132,757533238,ES,FOP,20250214,6130.0,P,CME,USD,EW2,6131.75,12.75,11.75,12.75,12.5,-1.0
133,759513602,ES,FOP,20250214,6135.0,P,CME,USD,EW2,6131.75,12.75,11.75,15.0,12.5,-1.0
134,759513602,ES,FOP,20250214,6135.0,P,CME,USD,EW2,6131.75,12.75,13.25,15.0,12.5,-1.0
