Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,SwingBuy_Signal,SwingSell_Signal,EMA_12,EMA_26,MACD,Signal_Line,Buy_Signal_MACD,Sell_Signal_MACD,Combined_Buy_Signal,Combined_Sell_Signal,RSI,RSI_Signal
2024-06-10,38868.0390625,38877.859375,38665.44921875,38784.8984375,330580000,39149.5642578125,38904.8468318488,38766.324375,38834.017085943735,36912.55453125,37338.35084464818,True,False,38858.197321418666,38908.416395186636,-50.21907376797026,-2.4191272106103217,False,True,False,False,34.34346329901662,False
2024-06-11,38747.421875,38795.7109375,38446.23828125,38795.7109375,383090000,39115.359765625,38889.853978815576,38749.93578125,38830.62119531849,36935.79453125,37352.371451915365,True,False,38841.15494504656,38896.49087517281,-55.33593012624624,-13.002487793737506,False,True,False,False,31.561906102625457,False
2024-06-12,38712.2109375,39120.26171875,38621.44921875,38950.6484375,472280000,39073.06484375,38872.93559392838,38740.775234375,38825.9776557962,36957.62109375,37365.90219306546,True,False,38821.31740542401,38882.840509419264,-61.52310399525595,-22.706611034041195,False,True,False,False,33.38567754162719,False
2024-06-13,38647.1015625,38712.2109375,38407.69921875,38677.12109375,341330000,39010.019921875,38851.4275909352,38731.174453125,38818.962907039495,36978.05669921875,37378.650445497646,True,False,38794.51496805108,38865.378365203025,-70.86339715194481,-32.33796825762192,False,True,False,False,41.08354475927429,False
2024-06-14,38589.16015625,38595.23828125,38305.8515625,38528.390625,272200000,38946.008984375,38826.4497400128,38731.018046875,38809.95103445952,36996.739140625,37390.69531824146,True,False,38762.92192008168,38844.91775713243,-81.99583705075202,-42.26954201624794,False,True,False,False,39.9847560479077,False
2024-06-17,38778.1015625,38839.87890625,38431.94921875,38565.1796875,346190000,38884.7345703125,38821.84515167825,38728.499296875,38808.702035559145,37016.17845703125,37404.50035549777,True,False,38765.2572496845,38839.96840938188,-74.7111596973773,-48.75786555247382,False,True,False,False,48.423298731257205,False
2024-06-18,38834.859375,38936.9296875,38727.671875,38779.12109375,324260000,38836.1390625,38823.084601518414,38727.34046875,38809.727813576435,37036.743203125,37418.73278355252,True,False,38775.96526896381,38839.58996239063,-63.62469342682016,-51.73123112734309,False,True,False,False,59.75428766284593,False
2024-06-20,39134.76171875,39232.5,38778.4609375,38804.73046875,397010000,38799.227734375,38852.76813649285,38732.362265625,38822.4742412303,37058.22845703125,37435.80769833061,True,False,38831.164722777066,38861.45453693577,-30.289814158706577,-47.44294773361579,True,False,True,False,75.76257051367789,True
2024-06-21,39150.328125,39257.1796875,39061.671875,39208.51171875,818670000,38773.1921875,38881.10718301734,38746.13859375,38835.3312562801,37080.77025390625,37452.867603073595,True,False,38880.26678465752,38882.85258049609,-2.5857958385677193,-38.47151735460618,True,False,False,False,66.2614514371451,False
2024-06-24,39411.2109375,39571.23046875,39184.48828125,39184.48828125,373940000,38790.4896484375,38931.59325487283,38765.18125,38857.914773190685,37105.6103515625,37472.35360640122,True,False,38961.95050047944,38921.990236570455,39.960263908986235,-22.785161101887695,True,False,True,False,76.7180939603985,True
