Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,SwingBuy_Signal,SwingSell_Signal,EMA_12,EMA_26,MACD,Signal_Line,Buy_Signal_MACD,Sell_Signal_MACD,Combined_Buy_Signal,Combined_Sell_Signal,RSI,RSI_Signal
2023-06-16,15083.919921875,15284.650390625,15073.4501953125,15272.650390625,8076530000,14407.7720703125,14453.321577231709,13657.67802734375,13812.584284480976,12243.326997070313,12885.481095532672,True,False,14707.413908455686,14292.785658348464,414.6282501072219,371.32023336530904,True,False,True,False,73.10280371684344,True
2023-06-20,15070.150390625,15127.419921875,14946.7197265625,15036.48046875,5237710000,14471.105078125,14512.06717850726,13697.82904296875,13861.900602368978,12257.31759765625,12907.219098468913,True,False,14763.219521097119,14350.368231109689,412.8512899874295,379.62644468973315,True,False,True,False,71.57709455661009,True
2023-06-21,14867.4501953125,15038.900390625,14826.01953125,15019.009765625,5194640000,14521.990576171875,14545.91318010776,13734.1534375,13901.333919739312,12270.281748046875,12926.723885502184,True,False,14779.255009437948,14388.670598828416,390.5844106095319,381.8180378736929,True,False,False,False,67.4347129222862,False
2023-06-22,15042.3203125,15044.2197265625,14794.9501953125,14797.8896484375,4499550000,14590.47958984375,14593.190049859402,13775.7168359375,13946.078484161302,12285.001147460938,12947.774596218582,True,False,14819.726594524416,14437.08909613742,382.6374983869955,381.9819299763534,True,False,False,False,67.20070499321734,False
2023-06-23,14891.48046875,14983.73046875,14821.8095703125,14879.23046875,7734500000,14654.82958984375,14621.598661182317,13816.579453125,13983.15307179223,12299.402001953125,12967.114953159193,True,False,14830.765652097583,14470.747716330945,360.0179357666384,377.5891311344104,False,True,False,False,59.62070474331582,False
2023-06-26,14689.01953125,14982.8203125,14687.01953125,14866.66015625,4430600000,14692.354052734376,14628.019696426858,13848.17205078125,14010.834109418025,12311.550151367188,12984.248332045669,True,False,14808.95855658257,14486.915998917542,322.04255766502683,366.47981644053374,False,True,False,False,53.33839135295137,False
2023-06-27,14945.91015625,14972.3095703125,14726.75,14751.5703125,5053660000,14724.729052734376,14658.294978314776,13885.49986328125,14047.503758313398,12324.67375,13003.767355172082,True,False,14830.02803345448,14520.915566127354,309.11246732712607,355.0063466178522,False,True,False,False,58.65638639768005,False
2023-06-28,14964.5703125,15051.080078125,14865.8095703125,14876.25,4533270000,14755.208056640626,14687.464057760988,13923.0370703125,14083.467152595225,12336.555151367187,13023.277832359425,True,False,14850.726845615329,14553.778880673475,296.94796494185357,343.3946702826525,False,True,False,False,66.49948319645308,False
2023-06-29,14939.9501953125,14986.8896484375,14876.9404296875,14965.5498046875,4388140000,14789.50107421875,14711.510356575416,13960.0002734375,14117.054722897865,12347.556303710937,13042.34919915498,True,False,14864.45351479951,14582.384163239329,282.06935156018153,331.1296065381583,False,True,False,False,62.32628903474642,False
2023-06-30,15179.2099609375,15213.75,15081.5703125,15085.240234375,4661120000,14826.386083984375,14756.053176038471,14001.8102734375,14158.707869487655,12363.284252929687,13063.611495292122,True,False,14912.877583436126,14626.59348158734,286.2841018487852,322.1605056002837,False,True,False,False,65.93070583972104,False
