conId,openPrice,closePrice,lowPrice,highPrice,lastPrice,tradingVolume
764045696.0,5883.0,80.0,-1.0,-1.0,-1.0,-1.0
764045696.0,5883.0,80.0,-1.0,-1.0,-1.0,-1.0
764045696.0,5883.0,80.0,-1.0,-1.0,-1.0,-1.0
759088213.0,5883.0,20.25,-1.0,-1.0,-1.0,-1.0
759088213.0,5883.0,20.25,-1.0,-1.0,-1.0,-1.0
759088213.0,5883.0,20.25,-1.0,-1.0,-1.0,-1.0
759088293.0,5883.0,76.5,-1.0,-1.0,-1.0,-1.0
759088293.0,5883.0,76.5,-1.0,-1.0,-1.0,-1.0
759088293.0,5883.0,76.5,-1.0,-1.0,-1.0,-1.0
753717997.0,5883.0,21.75,-1.0,-1.0,-1.0,-1.0
753717997.0,5883.0,21.75,-1.0,-1.0,-1.0,-1.0
